"shortcode","taxon","original_taxon","SIGNAL2","SIGNALWoV2001","SIGNALWoV2003","SIGNALWestPt2003","SIGNALYarra2003","Rheophily.index","Comment"
"QO12","Aeshnidae","Aeshnidae",4,6,6,6,6,2.5,""
"QE04","Ameletopsidae","Ameletopsidae",7,10,10,10,10,NA,""
"KG06","Ancylinae","Ancylidae",4,6,6,6,6,4.25,""
"QT16","Antipodoeciidae","Antipodoeciidae",8,10,10,10,10,NA,""
"QDAA","Aphroteniinae","Aphroteniinae",8,7,7,7,NA,NA,""
"QD22","Athericidae","Athericidae",8,7,7,7,7,NA,""
"QT23","Atriplectididae","Atriplectididae",7,10,10,10,10,3.2,""
"OT01","Atyidae","Atyidae",3,6,6,6,6,2.2,""
"QO27","Austrocorduliidae","Austrocorduliidae",10,NA,NA,NA,NA,NA,""
"QP02","Austroperlidae","Austroperlidae",10,10,10,10,10,6,""
"QE02","Baetidae","Baetidae",5,5,5,5,5,5,""
"QH62","Belostomatidae","Belostomatidae",1,5,5,5,5,NA,""
"KG03","Bithynidae","Bithynidae",3,NA,NA,NA,NA,NA,""
"QD04","Blephariceridae","Blephariceridae",10,10,10,10,10,10,""
"OD02","Branchiopodidae","Branchiopodidae",1,NA,NA,NA,NA,NA,""
"QCAM","Nanophyidae","Brentidae",3,NA,NA,NA,NA,NA,""
"QE08","Caenidae","Caenidae",4,7,7,7,7,3,""
"QT24","Calamoceratidae","Calamoceratidae",7,8,8,8,8,2.6,""
"QT18","Calocidae","Calocidae",9,8,8,8,8,NA,""
"QC05","Carabidae","Carabidae",3,NA,NA,NA,NA,NA,""
"OP02","Chiltoniidae","Ceinidae",2,5,5,5,5,2,"formerly Hyalidae"
"QD09","Ceratopogonidae","Ceratopogonidae",4,6,6,6,6,4,""
"QDAZ","Chironomidae","Chironomidae",NA,1,1,NA,1,3,""
"QDAJ","Chironominae","Chironominae",3,4,4,6,NA,3,""
"QCAH","Chrysomelidae","Chrysomelidae",2,NA,NA,NA,NA,NA,""
"IB02","Cordylophoridae","Clavidae",2,2,2,2,NA,NA,""
"QO02","Coenagrionidae","Coenagrionidae",2,7,7,7,7,2.6,""
"QE05","Coloburiscidae","Coloburiscidae",8,10,10,10,10,8.4,""
"QT15","Conoesucidae","Conoesucidae",7,8,8,8,8,5.4,""
"OR12","Corallanidae","Corallanidae",2,NA,NA,NA,NA,NA,"Formerly Cirolanidae"
"KP02","Cyrenidae","Corbiculidae",4,6,6,6,6,NA,""
"QO16","Corduliidae","Corduliidae",5,7,7,7,7,NA,""
"QH65","Corixidae","Corixidae",2,5,5,5,5,1.8,""
"OP05","Corophiidae","Corophiidae",4,NA,NA,NA,NA,NA,""
"QM01","Corydalidae","Corydalidae",7,4,4,4,4,7,""
"QD07","Culicidae","Culicidae",1,2,2,2,2,1.2,""
"QCAN","Curculionidae","Curculionidae",2,NA,NA,NA,NA,NA,""
"QDAB","Diamesinae","Diamesinae",6,NA,NA,6,NA,NA,""
"QD06","Dixidae","Dixidae",7,8,8,8,8,3.4,""
"QD36","Dolichopodidae","Dolichopodidae",3,NA,NA,NA,NA,NA,""
"IF61","Dugesiidae","Dugesiidae",2,3,3,3,3,3.5,""
"QC09","Dytiscidae","Dytiscidae",2,5,5,5,5,2.8,""
"QT08","Ecnomidae","Ecnomidae",4,4,4,4,4,3.8,""
"QC34","Elmidae","Elmidae",7,7,7,7,7,6.6,""
"QD35","Empididae","Empididae",5,4,4,4,4,3.4,""
"QD78","Ephydridae","Ephydridae",2,2,2,2,2,NA,""
"LH05","Erpobdellidae","Erpobdellidae",1,3,3,3,3,NA,""
"OP03","Pontogeneiidae","Eusiridae",7,8,8,8,8,NA,""
"QP01","Eustheniidae","Eustheniidae",10,10,10,10,10,8,""
"OP11","Gammaridae","Gammaridae",NA,6,6,6,6,NA,""
"QH64","Gelastocoridae","Gelastocoridae",5,6,6,6,6,NA,""
"QH57","Gerridae","Gerridae",4,4,4,4,4,3.4,""
"KG09","Glacidorbidae","Glacidorbidae",5,NA,NA,NA,NA,NA,""
"LH01","Glossiphoniidae","Glossiphoniidae",1,3,3,3,3,NA,""
"QT02","Glossosomatidae","Glossosomatidae",9,8,8,8,8,7.4,""
"QO13","Gomphidae","Gomphidae",5,7,7,7,7,4.6,""
"IJ01","Gordiidae","Gordiidae",NA,7,7,7,7,NA,""
"OX61","Grapsidae","Grapsidae",7,NA,NA,NA,NA,NA,""
"QP03","Gripopterygidae","Gripopterygidae",8,7,7,7,7,6,""
"QC10","Gyrinidae","Gyrinidae",4,5,5,5,5,3.2,""
