"stat","diff","mean","lo95","lo90","lo75","median","hi75","hi90","hi95"
"depth_m_var","delta_baci1_low",0.313488799550618,-0.0678394615797027,-0.0102773444634649,0.0881956127727377,0.309934378259812,0.539831711388403,0.64048704926627,0.707784887744137
"depth_m_var","delta_baci2_low",-0.0126916722875704,-0.432200329863522,-0.356527149786852,-0.242847103899645,-0.00717741882333262,0.216641619380029,0.313302008980205,0.392849831878604
"depth_m_var","delta_baci1_hi",0.123133724151917,-0.178031861377756,-0.119647741832483,-0.0395882221324606,0.12163848362654,0.288076984941058,0.370826493545439,0.437155284590159
"depth_m_var","delta_baci2_hi",-0.0830705694289739,-0.387307824574519,-0.329697409309252,-0.243483055697157,-0.0789646309909833,0.0825221487083793,0.164110456337523,0.207191848466136
"depth_m_mean","delta_baci1_low",-0.395849480897099,-0.807503047434817,-0.741528502320164,-0.629151278645588,-0.398874752945556,-0.154635972864581,-0.0467574958236301,0.0127135429882145
"depth_m_mean","delta_baci2_low",-0.687043180375459,-1.09188064507556,-1.0206008332016,-0.925959035763871,-0.685398663277622,-0.455669506616624,-0.354193908977418,-0.286638670165719
"depth_m_mean","delta_baci1_hi",-0.592175824046513,-0.88733366684557,-0.832089662134564,-0.758335777906689,-0.591348401697697,-0.425896050779854,-0.347200516010479,-0.29777621836589
"depth_m_mean","delta_baci2_hi",-0.527180699338226,-0.825357457690195,-0.773132953921968,-0.702020140418956,-0.523174800817782,-0.35710992159077,-0.279033898740804,-0.23603810031541
"vel_m_s_var","delta_baci1_low",0.867427706782744,-0.00537357280025152,0.141626418184576,0.363546958607988,0.873259203815916,1.36671004347906,1.58919546445271,1.72579694547547
"vel_m_s_var","delta_baci2_low",1.06589650349261,0.139598412095519,0.314416759753561,0.544815443801256,1.05571893247564,1.60296369662775,1.84551413111942,2.01290699120018
"vel_m_s_var","delta_baci1_hi",0.900910050510639,0.277346514709627,0.371239729270863,0.541918432863021,0.896077538105512,1.26532558848815,1.42274893924472,1.56838702434329
"vel_m_s_var","delta_baci2_hi",1.22480925086652,0.55182030306019,0.684867095577754,0.837862420764843,1.22585095497646,1.60069268483607,1.76848293334194,1.86378681803644
"vel_m_s_mean","delta_baci1_low",0.817553609192684,-0.0884454163499332,0.0640532470055828,0.284228478543585,0.828641075598832,1.34831137868579,1.57353201243242,1.70014729668773
"vel_m_s_mean","delta_baci2_low",1.552669060183,0.568014644673458,0.708633834454174,0.985038702412038,1.56497055484927,2.11953460178846,2.35682048100132,2.53536381531441
"vel_m_s_mean","delta_baci1_hi",0.646549419990529,0.00114863029563684,0.103872418476051,0.267386703835457,0.635706033907969,1.01946439149279,1.2268340981125,1.33368602604028
"vel_m_s_mean","delta_baci2_hi",1.28218199031588,0.576278047071017,0.69814612707535,0.892109968312789,1.28092982075637,1.68148730294106,1.86164153791024,1.98757190906707
"min_phi","delta_baci1_low",-0.680237040060986,-1.91476340722048,-1.71559791229261,-1.41925942961923,-0.679124953817559,0.0394240395353267,0.392698560038966,0.605475099051806
"min_phi","delta_baci2_low",-1.3334666205949,-2.67587183784717,-2.45934900052431,-2.09374520287545,-1.35319382487111,-0.544060803494905,-0.166820102802741,0.0355951226488211
"min_phi","delta_baci1_hi",-1.45411614536075,-2.39396041159428,-2.20600483491036,-1.96387582567977,-1.46470648589233,-0.923177373667493,-0.692958714191027,-0.536783601023659
"min_phi","delta_baci2_hi",-1.72736327048846,-2.66583613661016,-2.5240399019151,-2.27705428443537,-1.73045618768838,-1.17961791328079,-0.924723448518552,-0.781458529093392
"max_phi","delta_baci1_low",-1.20708163950221,-2.55975828999303,-2.31448737313117,-1.97746655091316,-1.2111963395862,-0.423238241634761,-0.0917609285220258,0.135036506780349
"max_phi","delta_baci2_low",-4.14055803972873,-5.65994167489619,-5.3223383710391,-4.97355665568482,-4.15701703057814,-3.29271004046503,-2.95234806245619,-2.6907146535156
"max_phi","delta_baci1_hi",-0.906021470265498,-1.87652419786782,-1.69885416195128,-1.4683214272573,-0.909550421611349,-0.337780520596834,-0.0883360299734233,0.0674643969549074
"max_phi","delta_baci2_hi",-0.875946575195493,-1.95914375085613,-1.76159205594554,-1.47973879645723,-0.872729769895661,-0.247688608218364,0.0163917476088863,0.177077465626965
"med_phi","delta_baci1_low",-3.03935695116175,-4.33708230226814,-4.10643458047353,-3.75016467629814,-3.04064818232922,-2.34179627629144,-2.03138556901585,-1.82578990602851
"med_phi","delta_baci2_low",-3.57359724765664,-4.82197946783675,-4.62173830875053,-4.29164075255206,-3.56182609568576,-2.8704700622078,-2.51512720547252,-2.33682765326899
"med_phi","delta_baci1_hi",-1.25585936749977,-2.12478340424461,-1.96869772197106,-1.73981321970655,-1.24912343032727,-0.771244682080407,-0.535327565369885,-0.402310156825046
"med_phi","delta_baci2_hi",-0.673983116213285,-1.60943198310069,-1.44443387535463,-1.18390672070029,-0.681178554414209,-0.154818354820769,0.0742928188675959,0.288377364789968
