"shortcode","prevalence","PCC","sensitivity","specificity","Kappa","AUC"
"IB0101",14,0.962264150943396,1,0.948717948717949,0.907180385288967,1
"IF410102",1,1,1,1,1,1
"IF610101",35,0.773584905660377,1,0.333333333333333,0.397727272727273,0.990476190476191
"IF9999C1",1,1,1,1,1,1
"IF9999C2",7,1,1,1,1,1
"IF9999C3",18,0.943396226415094,1,0.914285714285714,0.878718535469108,1
"IH0101",14,0.867924528301887,0.928571428571429,0.846153846153846,0.695152013147083,0.976190476190476
"II",53,1,1,NA,NA,NA
"KG020601",35,0.886792452830189,1,0.666666666666667,0.725388601036269,0.995238095238095
"KG05",6,1,1,1,1,1
"KG0601",23,0.830188679245283,1,0.7,0.669438669438669,1
"KG0708",2,1,1,1,1,1
"KG080101",48,0.905660377358491,1,0,0,0.983333333333333
"KP0301",28,0.735849056603774,0.964285714285714,0.48,0.456011730205278,0.954285714285714
"LH01",31,0.773584905660377,1,0.454545454545455,0.493630573248408,0.928152492668622
"LH05",2,0.981132075471698,0.5,1,0.658064516129033,1
"LO030101",3,1,1,1,1,1
"LO030202",1,0.981132075471698,0,1,0,1
"LO0399A5",28,0.811320754716981,1,0.6,0.613138686131387,0.977142857142857
"LO040603",18,0.867924528301887,1,0.8,0.730964467005076,0.984126984126984
"LO041101",18,0.849056603773585,0.944444444444444,0.8,0.688693098384728,0.987301587301587
"LO0499A1",53,1,1,NA,NA,NA
"LO0499A2",52,0.981132075471698,1,0,0,1
"LO0501",44,0.830188679245283,1,0,0,0.982323232323232
"LO0502",18,0.849056603773585,1,0.771428571428571,0.696275071633238,1
"LO0505",21,0.849056603773585,0.952380952380952,0.78125,0.699290780141844,0.974702380952381
"LO0506",15,0.924528301886792,1,0.894736842105263,0.827922077922078,1
"LO050702",39,0.867924528301887,1,0.5,0.595419847328244,0.981684981684982
"LO0509",1,0.981132075471698,0,1,0,1
"LO060101",46,0.981132075471698,1,0.857142857142857,0.912396694214876,1
"LO060201",1,1,1,1,1,1
"LO08",39,0.811320754716981,0.974358974358974,0.357142857142857,0.405829596412556,0.935897435897436
"LO11",27,0.773584905660377,1,0.538461538461538,0.543103448275862,0.947293447293447
"MM9999A1",32,0.660377358490566,1,0.142857142857143,0.167539267015707,0.943452380952381
"MM9999A2",16,0.811320754716981,1,0.72972972972973,0.619799139167862,0.971283783783784
"MM9999A3",4,0.981132075471698,0.75,1,0.847262247838617,1
"MM9999A8",4,0.981132075471698,0.75,1,0.847262247838617,0.994897959183674
"OJ3",49,0.943396226415094,1,0.25,0.381322957198444,0.938775510204082
"OP0199A1",3,1,1,1,1,1
"OP020101",6,1,1,1,1,1
"OP0601",6,1,1,1,1,1
"OR1801",1,1,1,1,1,1
"OR26",8,0.905660377358491,0.5,0.977777777777778,0.564860426929393,0.972222222222222
"OT010101",2,1,1,1,1,1
"OX010101",3,0.981132075471698,1,0.98,0.847262247838617,1
"QC0920",5,0.943396226415094,1,0.9375,0.738916256157636,1
"QC1303",1,0.981132075471698,0,1,0,1
"QC3401",7,0.981132075471698,1,0.978260869565217,0.922401171303075,0.996894409937888
"QC3402",1,1,1,1,1,1
"QC3403",10,1,1,1,1,1
"QC3404",1,1,1,1,1,1
"QC3405",1,0.981132075471698,0,1,0,1
"QC3701",1,1,1,1,1,1
"QD0103",1,0.981132075471698,0,1,0,1
"QD0203",2,0.981132075471698,0.5,1,0.658064516129033,1
"QD0204",1,0.981132075471698,0,1,0,1
"QD0210",1,0.981132075471698,0,1,0,1
"QD08",1,1,1,1,1,1
"QD09",8,0.981132075471698,1,0.977777777777778,0.92998678996037,1
"QD10",24,0.867924528301887,1,0.758620689655172,0.740014015416959,0.997126436781609
"QD12",9,0.981132075471698,1,0.977272727272727,0.935912938331318,1
"QD15",1,1,1,1,1,1
"QD24",1,0.981132075471698,0,1,0,1
"QD35",2,1,1,1,1,1
"QD36",3,0.981132075471698,0.666666666666667,1,0.790513833992095,0.993333333333333
"QD45",1,0.981132075471698,0,1,0,1
"QD89",1,1,1,1,1,1
"QDAE05",10,0.943396226415094,0.9,0.953488372093023,0.821948488241881,0.981395348837209
